Année;12;01;02;03;04;05;06;07;08;09;10;11;13;14;15;16;17;18;19;2A;2B;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
2015;7,7;7,4;14,3;11,0;12,0;9,6;11,0;11,1;12,8;12,6;13,0;14,2;12,2;10,1;6,7;10,4;11,1;10,9;8,5;10,2;11,8;8,8;9,4;10,0;11,1;9,6;11,6;10,7;9,9;9,5;14,4;10,7;8,5;10,4;14,5;8,2;9,8;9,5;8,8;7,9;10,0;9,1;10,4;8,6;9,0;10,1;9,5;10,6;6,5;9,7;8,5;10,0;9,9;7,2;10,4;10,2;9,7;10,8;9,8;13,1;10,4;9,8;13,2;9,0;8,8;11,8;16,0;9,1;10,1;9,5;10,1;9,5;10,3;8,1;7,7;8,4;11,4;8,3;7,6;8,1;12,1;11,1;11,9;13,2;8,7;8,6;10,0;12,2;10,1;11,9;7,9;8,1;13,5;9,2;10,4;11,5
