12,7.7
1,7.4
2,14.3
3,11
4,12
5,9.6
6,11
7,11.1
8,12.8
9,12.6
10,13
11,14.2
13,12.2
14,10.1
15,6.7
16,10.4
17,11.1
18,10.9
19,8.5
2A,10.2
2B,11.8
21,8.8
22,9.4
23,10
24,11.1
25,9.6
26,11.6
27,10.7
28,9.9
29,9.5
30,14.4
31,10.7
32,8.5
33,10.4
34,14.5
35,8.2
36,9.8
37,9.5
38,8.8
39,7.9
40,10
41,9.1
42,10.4
43,8.6
44,9
45,10.1
46,9.5
47,10.6
48,6.5
49,9.7
50,8.5
51,10
52,9.9
53,7.2
54,10.4
55,10.2
56,9.7
57,10.8
58,9.8
59,13.1
60,10.4
61,9.8
62,13.2
63,9
64,8.8
65,11.8
66,16
67,9.1
68,10.1
69,9.5
70,10.1
71,9.5
72,10.3
73,8.1
74,7.7
75,8.4
76,11.4
77,8.3
78,7.6
79,8.1
80,12.1
81,11.1
82,11.9
83,13.2
84,8.7
85,8.6
86,10
87,12.2
88,10.1
89,11.9
90,7.9
91,8.1
92,13.5
93,9.2
94,10.4
95,11.5
